Species,Phonotypes,RMSE.A,Res.B
23,2,11.63023875,0.887386056
24,2,12.20388365,0.892709057
25,2,12.77488314,0.897151445
26,2,13.35083945,0.900528355
27,2,13.92173111,0.902717926
28,2,14.48803944,0.905875507
29,2,15.06012046,0.909050305
30,2,15.65148634,0.909255855
31,2,16.22411466,0.911306834
32,2,16.78981731,0.915389908
33,2,17.37801354,0.916523976
34,2,17.93796594,0.919386181
35,2,18.51757305,0.921140669
36,2,19.11639117,0.920348061
37,2,19.65428082,0.92601476
38,2,20.2377754,0.927653901
39,2,20.81702439,0.927201766
40,2,21.41157951,0.925175569
41,2,21.95887095,0.932026826
42,2,22.54167515,0.931328377
43,2,23.12060732,0.932449522
44,2,23.70732116,0.932339015
45,2,24.27416871,0.936111079
46,2,24.86547122,0.934413084
47,2,25.41967854,0.937760158
48,2,26.00658209,0.937834335
49,2,26.5899695,0.937602812
50,2,27.14402688,0.941034951
3,3,0,0
4,3,0.538458214,0.247418944
5,3,0.996697907,0.382012315
6,3,1.486825998,0.468920804
7,3,2.005019046,0.525413911
8,3,2.532568465,0.570434101
9,3,3.07242381,0.603723585
10,3,3.620064461,0.630034257
11,3,4.162723024,0.654699551
12,3,4.723717783,0.672440943
13,3,5.273011636,0.690937101
14,3,5.840122152,0.702761094
15,3,6.394445367,0.718425152
16,3,6.960149061,0.726599537
17,3,7.517752786,0.740089742
18,3,8.079377158,0.750305803
19,3,8.647726713,0.757973704
20,3,9.209293657,0.767420023
21,3,9.783706204,0.772898743
22,3,10.35286667,0.778850949
23,3,10.92381504,0.7838235
24,3,11.49084219,0.789820645
25,3,12.06149451,0.795315021
26,3,12.65086334,0.797293084
27,3,13.2108787,0.804328192
28,3,13.76925952,0.810175253
29,3,14.34528137,0.813876811
30,3,14.91439701,0.817317818
31,3,15.48649353,0.822658541
32,3,16.05128065,0.82686447
33,3,16.64271908,0.826468089
34,3,17.20585411,0.832316117
35,3,17.78055592,0.834161683
36,3,18.3381128,0.838651028
37,3,18.92094303,0.840761673
38,3,19.49687455,0.842834913
39,3,20.07105016,0.846781302
40,3,20.64337947,0.849617823
41,3,21.23301582,0.849760926
42,3,21.78837498,0.854831009
43,3,22.37628301,0.853766679
44,3,22.93614268,0.858672902
45,3,23.52219172,0.856516134
46,3,24.07783958,0.86186582
47,3,24.66357094,0.863589738
48,3,25.22222306,0.865141224
49,3,25.805436,0.867498416
50,3,26.42510978,0.865042787
4,4,0,0
